폴더버거 핫치킨,http://www.lotteria.com//Data//Goods/330/DetailImage.jpg,같은 것도 다르게 먹는다 '접어서 먹는 버거'. 달콤하고 매콤한 소스에 핫치킨 토핑을 더해 화끈한 매운맛의 폴더버거원산지국내산 닭고기,"5,700원"
폴더버거 비프,http://www.lotteria.com//Data//Goods/327/DetailImage.jpg,같은 것도 다르게 먹는다 '접어서 먹는 버거'. 단짠 맛의 소스에 모짜렐라 자연치즈가 풍부하게 토핑된 담백한 맛의 폴더버거원산지호주산 쇠고기,"5,700원"
리아미라클버거,http://www.lotteria.com//Data//Goods/318/DetailImage.jpg,숯불갈비양념맛과 어니언의 풍미가 어우러진 한국적인 맛의 대체육 버거,"5,600원"
와규 에디션Ⅱ,http://www.lotteria.com//Data//Goods/306/DetailImage.jpg,부드러운 와규와 시그니처 소스의 콜라보원산지쇠고기 - 호주산,"5,800원"
더블X2,http://www.lotteria.com//Data//Goods/299/DetailImage.jpg,"순 비프패티 2장, 치즈 2장을 활용하여 맛이 조화로운 정통 아메리칸 버거 제품쇠고기 - 호주산","5,500원"
새우버거,http://www.lotteria.com//Data//Goods/296/DetailImage.jpg,"더 커지고, 더 맛있어진 새우 패티로 고유의 맛을 강화한 오리지널 새우버거원산지명태연육 - 미국산, 새우 - 베트남산","3,900원"
치킨버거,http://www.lotteria.com//Data//Goods/294/DetailImage.jpg,"육즙, 풍미 뛰어난 '닭다리살' 활용한 가성비 치킨버거원산지닭고기[국내산, 브라질산]","2,900원"
T-Rex,http://www.lotteria.com//Data//Goods/290/DetailImage.jpg,번스보다 큰 '통다리살' 치킨패티를 활용한 버거제품원산지닭고기[브라질산],"3,700원"
클래식 치즈버거,http://www.lotteria.com//Data//Goods/238/DetailImage.jpg,부드럽고 촉촉한 포테이토번과 풍부한 육즙의 두툼한 호주산 쇠고기패티로 본연의 맛을 꽉 채운 클래식 치즈버거쇠고기 : 호주산,"4,400원"
한우불고기,http://www.lotteria.com//Data//Goods/233/DetailImage.jpg,100% 우리 한우로 만든 두툼한 패티와 부드럽고 촉촉한 포테이토번이 만나 더 맛있어진 NEW 한우불고기원산지쇠고기 : 국내산 한우,"7,000원"
모짜렐라 인 더 버거 - 베이컨,http://www.lotteria.com//Data//Goods/231/DetailImage.jpg,"자연산 모짜렐라 치즈에 노릇노릇한 베이컨, 레터스, 소스가 어우러진 풍부한 맛의 모짜렐라 인더버거 베이컨원산지쇠고기 : 호주산베이컨 : 외국산 돼지고기","6,000원"
AZ버거,http://www.lotteria.com//Data//Goods/219/DetailImage.jpg,육즙 가득 순쇠고기 패티와 통밀발효종 효모가 사용되어 부드러운 브리오쉬 번 좋은 재료와 맛의 A to Z를 느낄 수 있는 프리미엄 제품쇠고기 : 호주산,"6,600원"
원조 빅불,http://www.lotteria.com//Data//Goods/143/DetailImage.jpg,불고기 특유의 소스와 쇠고기의 진함을 배로 느끼는 제품원산지쇠고기 : 호주산,"5,800원"
핫크리스피버거,http://www.lotteria.com//Data//Goods/100/DetailImage.jpg,토마토와 레타스등의 야채와 하바네로香이 가미된 가슴살로 만든 매콤한 Premium 치킨버거원산지국내산 닭고기,"4,900원"
불고기버거,http://www.lotteria.com//Data//Goods/68/DetailImage.jpg,불고기버거  볼륨 가득한 패티와 불고기 소스가 잘 조화된 영양만점의 햄버거 원산지호주산 쇠고기,"3,900원"
데리버거,http://www.lotteria.com//Data//Goods/26/DetailImage.jpg,"풍성한 레터스에 마요네즈,독특한 데리소스가 포인트인 햄버거 원산지호주산 쇠고기","2,500원"
